Name,price48,price144,price576,price1152,price2880,price10000
Tier 1,1.8,1.5,1.45,1.42,1.38,1.35
Tier 2,2.2,1.6,1.5,1.45,1.4,1.35
Tier 3,2.4,1.7,1.6,1.47,1.44,1.41
